frequency,real,imaginary,magnitude,impedance
10000.0,11.0,-256.0,256.24,431.06
11800.0,13.0,-234.0,234.36,418.25
13600.0,-17.0,-254.0,254.57,394.78
15400.0,-2.0,-260.0,260.01,366.73
17200.0,9.0,-253.0,253.16,363.75
19000.0,17.0,-271.0,271.53,431.25
20800.0,24.0,-263.0,264.09,382.35
22600.0,26.0,-252.0,253.34,403.86
24400.0,37.0,-264.0,266.58,403.32
26200.0,43.0,-271.0,274.39,387.41
28000.0,51.0,-263.0,267.9,362.13
29800.0,64.0,-266.0,273.59,377.66
31600.0,69.0,-268.0,276.74,382.21
33400.0,73.0,-267.0,276.8,375.17
35200.0,82.0,-267.0,279.31,385.61
37000.0,86.0,-267.0,280.51,387.91
38800.0,95.0,-262.0,278.69,377.15
40600.0,98.0,-262.0,279.73,366.53
42400.0,106.0,-262.0,282.63,373.64
44200.0,114.0,-255.0,279.32,371.5
46000.0,123.0,-255.0,283.11,379.44
47800.0,128.0,-255.0,285.32,383.48
49600.0,131.0,-250.0,282.24,377.96
51400.0,141.0,-250.0,287.02,362.14
53200.0,142.0,-249.0,286.64,371.37
55000.0,151.0,-239.0,282.7,372.81
56800.0,157.0,-251.0,296.06,282.84
58600.0,165.0,-237.0,288.78,368.82
60400.0,170.0,-232.0,287.62,376.91
62200.0,172.0,-228.0,285.6,365.56
64000.0,179.0,-225.0,287.52,379.54
65800.0,184.0,-220.0,286.8,367.02
67600.0,191.0,-218.0,289.84,376.0
69400.0,199.0,-211.0,290.04,365.99
71200.0,198.0,-206.0,285.73,371.51
73000.0,206.0,-200.0,287.12,364.63
74800.0,207.0,-196.0,285.07,387.08
76600.0,217.0,-192.0,289.75,366.88
78400.0,219.0,-189.0,289.28,362.96
80200.0,223.0,-179.0,285.95,333.16
82000.0,228.0,-179.0,289.87,369.82
83800.0,234.0,-171.0,289.82,357.84
85600.0,235.0,-171.0,290.63,355.19
87400.0,240.0,-161.0,289.0,360.92
89200.0,245.0,-158.0,291.53,365.34
91000.0,246.0,-152.0,289.17,365.19
92800.0,252.0,-144.0,290.24,364.11
94600.0,256.0,-138.0,290.83,360.04
96400.0,260.0,-135.0,292.96,354.21
98200.0,262.0,-129.0,292.04,355.33
100000.0,264.0,-123.0,291.25,368.84
