frequency,real,imaginary,magnitude,impedance
10000.0,3.0,-312.0,312.01,391.22
11800.0,23.0,-278.0,278.95,373.1
13600.0,-27.0,-270.0,271.35,421.74
15400.0,8.0,-267.0,267.12,360.64
17200.0,8.0,-265.0,265.12,364.92
19000.0,23.0,-272.0,272.97,421.72
20800.0,19.0,-269.0,269.67,357.92
22600.0,27.0,-274.0,275.33,379.47
24400.0,28.0,-268.0,269.46,384.39
26200.0,45.0,-279.0,282.61,369.23
28000.0,47.0,-272.0,276.03,360.32
29800.0,55.0,-277.0,282.41,371.04
31600.0,69.0,-276.0,284.49,375.76
33400.0,74.0,-275.0,284.78,362.82
35200.0,81.0,-280.0,291.48,379.87
37000.0,87.0,-271.0,284.62,391.11
38800.0,96.0,-274.0,290.33,364.58
40600.0,101.0,-270.0,288.27,358.16
42400.0,108.0,-272.0,292.66,364.32
44200.0,116.0,-265.0,289.28,358.72
46000.0,125.0,-264.0,292.1,364.5
47800.0,131.0,-267.0,297.41,370.35
49600.0,135.0,-260.0,292.96,351.1
51400.0,144.0,-257.0,294.59,371.42
53200.0,155.0,-252.0,295.85,381.51
55000.0,157.0,-250.0,295.21,360.79
56800.0,167.0,-264.0,312.39,349.73
58600.0,173.0,-248.0,302.38,350.62
60400.0,174.0,-241.0,297.25,360.64
62200.0,179.0,-237.0,297.0,351.52
64000.0,188.0,-234.0,300.17,349.79
65800.0,192.0,-228.0,298.07,371.16
67600.0,199.0,-224.0,299.63,341.01
69400.0,203.0,-222.0,300.82,357.78
71200.0,205.0,-215.0,297.07,361.8
73000.0,214.0,-209.0,299.13,354.62
74800.0,214.0,-210.0,299.83,358.97
76600.0,225.0,-201.0,301.71,342.98
78400.0,229.0,-197.0,302.08,352.65
80200.0,237.0,-188.0,302.51,380.08
82000.0,240.0,-186.0,303.64,355.93
83800.0,242.0,-181.0,302.2,347.44
85600.0,244.0,-174.0,299.69,372.41
87400.0,250.0,-168.0,301.2,349.91
89200.0,257.0,-162.0,303.8,342.14
91000.0,258.0,-159.0,303.06,338.63
92800.0,262.0,-150.0,301.9,350.04
94600.0,266.0,-144.0,302.48,340.38
96400.0,271.0,-138.0,304.11,341.22
98200.0,271.0,-134.0,302.32,352.12
100000.0,275.0,-127.0,302.91,360.68
