frequency,real,imaginary,magnitude,impedance
10000.0,20.0,-277.0,277.72,397.71
11800.0,13.0,-239.0,239.35,409.52
13600.0,-20.0,-260.0,260.77,385.4
15400.0,10.0,-275.0,275.18,346.51
17200.0,-3.0,-264.0,264.02,348.79
19000.0,23.0,-273.0,273.97,427.42
20800.0,24.0,-250.0,251.15,402.05
22600.0,23.0,-262.0,263.01,389.01
24400.0,36.0,-268.0,270.41,397.61
26200.0,43.0,-279.0,282.29,376.56
28000.0,53.0,-259.0,264.37,366.97
29800.0,59.0,-267.0,273.44,377.87
31600.0,65.0,-268.0,275.77,383.56
33400.0,73.0,-266.0,275.84,376.48
35200.0,82.0,-267.0,279.31,385.61
37000.0,86.0,-261.0,274.8,395.96
38800.0,96.0,-263.0,279.97,375.43
40600.0,99.0,-261.0,279.15,367.29
42400.0,108.0,-259.0,280.62,376.33
44200.0,116.0,-256.0,281.06,369.21
46000.0,122.0,-256.0,283.58,378.81
47800.0,128.0,-252.0,282.64,387.12
49600.0,131.0,-251.0,283.13,376.78
51400.0,141.0,-247.0,284.41,365.46
53200.0,151.0,-239.0,282.7,376.55
55000.0,153.0,-241.0,285.46,369.2
56800.0,141.0,-241.0,279.22,299.9
58600.0,161.0,-236.0,285.69,372.81
60400.0,168.0,-232.0,286.44,378.46
62200.0,172.0,-227.0,284.8,366.58
64000.0,180.0,-228.0,290.49,375.66
65800.0,186.0,-217.0,285.81,368.3
67600.0,189.0,-212.0,284.02,383.7
69400.0,195.0,-210.0,286.57,370.41
71200.0,202.0,-204.0,287.09,369.75
73000.0,207.0,-202.0,289.23,361.96
74800.0,211.0,-194.0,286.63,384.97
76600.0,217.0,-192.0,289.75,366.88
78400.0,219.0,-186.0,287.33,365.42
80200.0,228.0,-179.0,289.87,328.66
82000.0,229.0,-178.0,290.04,369.6
83800.0,232.0,-173.0,289.4,358.36
85600.0,239.0,-164.0,289.86,356.13
87400.0,241.0,-161.0,289.83,359.89
89200.0,244.0,-154.0,288.53,369.14
91000.0,246.0,-150.0,288.12,366.52
92800.0,253.0,-144.0,291.11,363.02
94600.0,253.0,-139.0,288.67,362.73
96400.0,258.0,-132.0,289.81,358.06
98200.0,262.0,-126.0,290.72,356.93
100000.0,266.0,-121.0,292.23,367.61
