frequency,real,imaginary,magnitude,impedance
10000.0,14.0,-56.0,57.72,2114.66
11800.0,7.0,-47.0,47.52,2190.24
13600.0,-1.0,-59.0,59.01,1939.34
15400.0,5.0,-47.0,47.27,2038.13
17200.0,5.0,-48.0,48.26,2004.72
19000.0,8.0,-57.0,57.56,2000.0
20800.0,4.0,-51.0,51.16,1886.74
22600.0,8.0,-50.0,50.64,2063.35
24400.0,10.0,-49.0,50.01,2071.11
26200.0,11.0,-52.0,53.15,1963.2
28000.0,12.0,-46.0,47.54,2092.13
29800.0,13.0,-48.0,49.73,2107.12
31600.0,14.0,-49.0,50.96,2097.73
33400.0,14.0,-50.0,51.92,1989.96
35200.0,20.0,-50.0,53.85,2056.11
37000.0,14.0,-49.0,50.96,2184.41
38800.0,18.0,-49.0,52.2,2027.7
40600.0,18.0,-48.0,51.26,2014.03
42400.0,23.0,-50.0,55.04,1937.28
44200.0,22.0,-47.0,51.89,1999.63
46000.0,26.0,-47.0,53.71,1982.24
47800.0,26.0,-48.0,54.59,2017.71
49600.0,25.0,-46.0,52.35,1964.66
51400.0,28.0,-45.0,53.0,2064.46
53200.0,32.0,-50.0,59.36,1901.37
55000.0,30.0,-45.0,54.08,1969.34
56800.0,41.0,-38.0,55.9,1954.36
58600.0,27.0,-45.0,52.48,2020.23
60400.0,33.0,-42.0,53.41,2007.0
62200.0,31.0,-42.0,52.2,2000.0
64000.0,34.0,-44.0,55.61,1888.21
65800.0,35.0,-40.0,53.15,2081.52
67600.0,34.0,-40.0,52.5,1946.3
69400.0,34.0,-39.0,51.74,2080.2
71200.0,36.0,-38.0,52.35,2053.3
73000.0,38.0,-37.0,53.04,2000.0
74800.0,34.0,-39.0,51.74,2080.2
76600.0,39.0,-36.0,53.08,1949.67
78400.0,40.0,-34.0,52.5,2029.18
80200.0,44.0,-30.0,53.25,2159.05
82000.0,42.0,-32.0,52.8,2046.8
83800.0,41.0,-31.0,51.4,2042.69
85600.0,42.0,-32.0,52.8,2113.7
87400.0,43.0,-29.0,51.87,2032.08
89200.0,44.0,-29.0,52.7,1972.44
91000.0,42.0,-27.0,49.93,2055.39
92800.0,47.0,-27.0,54.2,1949.67
94600.0,46.0,-25.0,52.35,1966.52
96400.0,49.0,-25.0,55.01,1886.4
98200.0,47.0,-22.0,51.89,2051.33
100000.0,49.0,-22.0,53.71,2034.03
