frequency,real,imaginary,magnitude,impedance
10000.0,-11.0,-244.0,244.25,452.22
11800.0,-14.0,-253.0,253.39,386.84
13600.0,-41.0,-268.0,271.12,370.68
15400.0,9.0,-253.0,253.16,376.65
17200.0,-7.0,-269.0,269.09,342.21
19000.0,22.0,-273.0,273.89,427.55
20800.0,18.0,-259.0,259.62,388.93
22600.0,32.0,-264.0,265.93,384.73
24400.0,40.0,-261.0,264.05,407.19
26200.0,49.0,-268.0,272.44,390.18
28000.0,52.0,-263.0,268.09,361.87
29800.0,56.0,-269.0,274.77,376.04
31600.0,69.0,-268.0,276.74,382.21
33400.0,75.0,-264.0,274.45,378.38
35200.0,79.0,-265.0,276.52,389.49
37000.0,87.0,-261.0,275.12,395.51
38800.0,95.0,-262.0,278.69,377.15
40600.0,98.0,-260.0,277.86,369.0
42400.0,106.0,-263.0,283.56,372.42
44200.0,115.0,-257.0,281.56,368.55
46000.0,123.0,-255.0,283.11,379.44
47800.0,128.0,-256.0,286.22,382.29
49600.0,133.0,-249.0,282.29,377.89
51400.0,138.0,-247.0,282.94,367.37
53200.0,144.0,-250.0,288.51,368.98
55000.0,153.0,-240.0,284.62,370.3
56800.0,171.0,-242.0,296.32,282.59
58600.0,162.0,-240.0,289.56,367.83
60400.0,170.0,-231.0,286.81,377.97
62200.0,174.0,-228.0,286.81,364.01
64000.0,182.0,-229.0,292.51,373.05
65800.0,187.0,-221.0,289.5,363.6
67600.0,190.0,-218.0,289.18,376.85
69400.0,196.0,-212.0,288.72,367.66
71200.0,201.0,-207.0,288.53,367.9
73000.0,206.0,-201.0,287.81,363.74
74800.0,208.0,-202.0,289.94,380.57
76600.0,214.0,-193.0,288.18,368.88
78400.0,217.0,-189.0,287.77,364.86
80200.0,218.0,-182.0,283.99,335.47
82000.0,229.0,-179.0,290.66,368.82
83800.0,233.0,-172.0,289.61,358.11
85600.0,238.0,-169.0,291.9,353.64
87400.0,242.0,-160.0,290.11,359.54
89200.0,247.0,-155.0,291.61,365.25
91000.0,245.0,-154.0,289.38,364.93
92800.0,254.0,-144.0,291.98,361.94
94600.0,256.0,-139.0,291.3,359.45
96400.0,260.0,-135.0,292.96,354.21
98200.0,262.0,-127.0,291.16,356.4
100000.0,264.0,-121.0,290.41,369.91
