frequency,real,imaginary,magnitude,impedance
5000.0,22.0,268.0,268.9,34251.19
7000.0,18.0,262.0,262.62,34697.58
9000.0,-12.0,272.0,272.26,34084.25
11000.0,-12.0,267.0,267.27,34262.59
13000.0,-31.0,278.0,279.72,33418.75
15000.0,-31.0,271.0,272.77,33758.06
17000.0,-41.0,278.0,281.01,33200.02
19000.0,-44.0,272.0,275.54,33482.65
21000.0,-53.0,279.0,283.99,33026.79
23000.0,-58.0,273.0,279.09,33208.07
25000.0,-65.0,274.0,281.6,33090.9
27000.0,-71.0,268.0,277.25,33515.11
29000.0,-75.0,275.0,285.04,32760.6
31000.0,-81.0,273.0,284.76,32789.98
33000.0,-85.0,271.0,284.02,32955.8
35000.0,-92.0,265.0,280.52,33134.18
37000.0,-98.0,266.0,283.48,32851.84
39000.0,-100.0,267.0,285.11,32737.39
41000.0,-107.0,264.0,284.86,32687.2
43000.0,-106.0,268.0,288.2,32338.3
45000.0,-116.0,261.0,285.62,32623.03
47000.0,-124.0,261.0,288.96,32197.91
49000.0,-126.0,257.0,286.23,32523.22
51000.0,-134.0,255.0,288.06,32275.02
53000.0,-135.0,257.0,290.3,31766.79
55000.0,-145.0,248.0,287.28,32164.54
57000.0,-151.0,248.0,290.35,32122.71
59000.0,-152.0,245.0,288.32,32076.13
61000.0,-157.0,241.0,287.63,32230.75
63000.0,-163.0,235.0,286.0,32345.4
65000.0,-169.0,235.0,289.46,31829.91
67000.0,-174.0,230.0,288.4,32061.44
69000.0,-178.0,230.0,290.83,31837.26
71000.0,-183.0,225.0,290.02,31963.53
73000.0,-186.0,223.0,290.39,31734.46
75000.0,-193.0,218.0,291.16,31546.63
77000.0,-196.0,215.0,290.93,31630.45
79000.0,-201.0,210.0,290.69,31608.31
81000.0,-206.0,209.0,293.46,31383.24
83000.0,-207.0,201.0,288.53,31771.44
85000.0,-213.0,198.0,290.81,31539.57
87000.0,-216.0,197.0,292.34,31377.9
89000.0,-221.0,190.0,291.45,31585.23
91000.0,-231.0,183.0,294.7,30998.38
93000.0,-226.0,180.0,288.92,31692.5
95000.0,-233.0,173.0,290.2,31577.78
97000.0,-236.0,174.0,293.21,31052.28
99000.0,-239.0,169.0,292.71,31249.75
