frequency,real,imaginary,magnitude,impedance
5000.0,21.0,269.0,269.82,34134.79
7000.0,17.0,264.0,264.55,34444.55
9000.0,-16.0,274.0,274.47,33810.78
11000.0,-12.0,268.0,268.27,34135.0
13000.0,-31.0,280.0,281.71,33182.94
15000.0,-30.0,272.0,273.65,33649.24
17000.0,-42.0,278.0,281.15,33182.59
19000.0,-46.0,270.0,273.89,33683.79
21000.0,-54.0,278.0,283.2,33119.32
23000.0,-56.0,274.0,279.66,33140.27
25000.0,-63.0,274.0,281.15,33144.44
27000.0,-67.0,271.0,279.16,33285.32
29000.0,-74.0,274.0,283.82,32902.23
31000.0,-82.0,274.0,286.01,32647.37
33000.0,-87.0,272.0,285.57,32776.09
35000.0,-93.0,267.0,282.73,32874.3
37000.0,-98.0,274.0,291.0,32002.89
39000.0,-102.0,268.0,286.75,32549.93
41000.0,-108.0,268.0,288.94,32225.27
43000.0,-107.0,265.0,285.79,32611.54
45000.0,-115.0,262.0,286.13,32564.8
47000.0,-124.0,261.0,288.96,32197.91
49000.0,-126.0,257.0,286.23,32523.22
51000.0,-134.0,256.0,288.95,32176.1
53000.0,-137.0,254.0,288.59,31954.84
55000.0,-144.0,250.0,288.51,32027.65
57000.0,-152.0,247.0,290.02,32159.36
59000.0,-152.0,245.0,288.32,32076.13
61000.0,-155.0,242.0,287.38,32258.25
63000.0,-160.0,238.0,286.78,32256.79
65000.0,-173.0,236.0,292.62,31486.24
67000.0,-172.0,232.0,288.8,32016.82
69000.0,-179.0,231.0,292.24,31684.42
71000.0,-184.0,228.0,292.98,31640.54
73000.0,-186.0,223.0,290.39,31734.46
75000.0,-193.0,216.0,289.66,31709.38
77000.0,-197.0,215.0,291.61,31557.28
79000.0,-202.0,209.0,290.66,31611.3
81000.0,-206.0,205.0,290.62,31689.41
83000.0,-209.0,200.0,289.28,31689.52
85000.0,-214.0,199.0,292.23,31387.03
87000.0,-215.0,196.0,290.93,31530.27
89000.0,-224.0,191.0,294.38,31270.94
91000.0,-228.0,184.0,292.98,31180.21
93000.0,-228.0,181.0,291.11,31454.31
95000.0,-231.0,176.0,290.41,31555.49
97000.0,-237.0,174.0,294.02,30967.21
99000.0,-241.0,166.0,292.64,31257.96
