frequency,real,imaginary,magnitude,impedance
10000.0,18.0,-13.0,22.2,46024.69
11800.0,246.0,-995.0,1024.96,961.17
13600.0,217.0,-1801.0,1814.03,546.04
15400.0,283.0,-1804.0,1826.06,540.07
17200.0,319.0,-1790.0,1818.2,538.89
19000.0,359.0,-1804.0,1839.37,544.17
20800.0,395.0,-1794.0,1836.97,537.64
22600.0,430.0,-1783.0,1834.12,539.88
24400.0,469.0,-1773.0,1833.98,540.65
26200.0,510.0,-1770.0,1842.01,539.1
28000.0,545.0,-1752.0,1834.81,533.97
29800.0,586.0,-1748.0,1843.61,539.14
31600.0,629.0,-1737.0,1847.38,535.96
33400.0,659.0,-1726.0,1847.53,534.77
35200.0,704.0,-1718.0,1856.65,538.67
37000.0,736.0,-1695.0,1847.9,532.1
38800.0,775.0,-1686.0,1855.59,531.67
40600.0,812.0,-1671.0,1857.84,532.57
42400.0,851.0,-1659.0,1864.53,530.51
44200.0,888.0,-1634.0,1859.7,530.44
46000.0,924.0,-1620.0,1864.99,529.38
47800.0,958.0,-1600.0,1864.88,531.87
49600.0,992.0,-1581.0,1866.45,528.43
51400.0,1026.0,-1560.0,1867.16,529.08
53200.0,1058.0,-1542.0,1870.06,523.85
55000.0,1096.0,-1516.0,1870.69,525.2
56800.0,1144.0,-1496.0,1883.28,516.57
58600.0,1167.0,-1474.0,1880.04,523.05
60400.0,1196.0,-1447.0,1877.29,523.06
62200.0,1229.0,-1420.0,1877.99,522.32
64000.0,1259.0,-1393.0,1877.64,525.83
65800.0,1292.0,-1365.0,1879.49,521.46
67600.0,1322.0,-1337.0,1880.23,520.71
69400.0,1351.0,-1311.0,1882.53,521.19
71200.0,1378.0,-1281.0,1881.45,519.9
73000.0,1408.0,-1251.0,1883.47,521.13
74800.0,1436.0,-1225.0,1887.52,522.1
76600.0,1464.0,-1192.0,1887.9,519.52
78400.0,1490.0,-1159.0,1887.69,518.78
80200.0,1518.0,-1122.0,1887.65,517.07
82000.0,1537.0,-1093.0,1886.01,519.12
83800.0,1566.0,-1059.0,1890.46,518.33
85600.0,1586.0,-1028.0,1890.02,517.94
87400.0,1608.0,-991.0,1888.85,517.46
89200.0,1630.0,-957.0,1890.17,515.21
91000.0,1650.0,-922.0,1890.13,516.33
92800.0,1672.0,-885.0,1891.77,517.27
94600.0,1692.0,-847.0,1892.16,515.95
96400.0,1710.0,-812.0,1893.0,517.19
98200.0,1728.0,-772.0,1892.61,515.53
100000.0,1746.0,-735.0,1894.4,512.7
