frequency,real,imaginary,magnitude,impedance
5000.0,1.0,1008.0,1008.0,9127.17
7000.0,-16.0,1013.0,1013.13,9004.0
9000.0,-76.0,1031.0,1033.8,8976.55
11000.0,-87.0,1023.0,1026.69,8937.67
13000.0,-129.0,1040.0,1047.97,8951.19
15000.0,-143.0,1026.0,1035.92,8901.46
17000.0,-173.0,1035.0,1049.36,8888.81
19000.0,-189.0,1023.0,1040.31,8853.32
21000.0,-216.0,1031.0,1053.38,8889.94
23000.0,-237.0,1025.0,1052.04,8837.24
25000.0,-257.0,1021.0,1052.85,8843.06
27000.0,-287.0,1014.0,1053.83,8815.6
29000.0,-304.0,1017.0,1061.46,8803.45
31000.0,-326.0,1009.0,1060.36,8776.78
33000.0,-343.0,1003.0,1060.03,8817.8
35000.0,-370.0,992.0,1058.76,8782.46
37000.0,-393.0,992.0,1067.01,8737.26
39000.0,-406.0,979.0,1059.85,8785.68
41000.0,-431.0,971.0,1062.36,8760.79
43000.0,-444.0,971.0,1067.7,8676.79
45000.0,-471.0,954.0,1063.93,8719.49
47000.0,-491.0,946.0,1065.83,8728.03
49000.0,-512.0,932.0,1063.38,8713.95
51000.0,-527.0,927.0,1066.33,8734.84
53000.0,-555.0,915.0,1070.16,8661.36
55000.0,-566.0,902.0,1064.88,8703.38
57000.0,-592.0,893.0,1071.41,8667.63
59000.0,-603.0,877.0,1064.3,8687.7
61000.0,-623.0,861.0,1062.76,8721.72
63000.0,-639.0,846.0,1060.21,8680.67
65000.0,-664.0,841.0,1071.53,8634.5
67000.0,-676.0,825.0,1066.58,8633.44
69000.0,-698.0,815.0,1073.05,8603.03
71000.0,-711.0,799.0,1069.54,8654.4
73000.0,-731.0,785.0,1072.65,8597.36
75000.0,-748.0,763.0,1068.49,8583.58
77000.0,-761.0,751.0,1069.17,8599.95
79000.0,-779.0,731.0,1068.27,8596.1
81000.0,-796.0,718.0,1071.98,8557.74
83000.0,-808.0,697.0,1067.09,8596.46
85000.0,-824.0,683.0,1070.26,8585.02
87000.0,-836.0,666.0,1068.86,8577.82
89000.0,-855.0,648.0,1072.81,8534.07
91000.0,-873.0,625.0,1073.66,8534.26
93000.0,-874.0,613.0,1067.54,8573.05
95000.0,-892.0,588.0,1068.37,8576.25
97000.0,-905.0,571.0,1070.08,8543.09
99000.0,-918.0,552.0,1071.18,8564.24
