frequency,real,imaginary,magnitude,impedance
5000.0,6.0,834.0,834.02,11031.12
7000.0,-7.0,878.0,878.03,10389.41
9000.0,-72.0,907.0,909.85,10199.38
11000.0,-84.0,909.0,912.87,10052.04
13000.0,-127.0,930.0,938.63,9993.89
15000.0,-141.0,925.0,935.68,9855.0
17000.0,-169.0,927.0,942.28,9898.92
19000.0,-182.0,918.0,935.87,9841.37
21000.0,-211.0,933.0,956.56,9789.77
23000.0,-230.0,919.0,947.34,9813.91
25000.0,-252.0,919.0,952.92,9770.35
27000.0,-273.0,909.0,949.11,9788.3
29000.0,-292.0,912.0,957.61,9758.24
31000.0,-327.0,1009.0,1060.66,8774.24
33000.0,-346.0,1005.0,1062.89,8794.03
35000.0,-368.0,1000.0,1065.56,8726.35
37000.0,-394.0,991.0,1066.45,8741.85
39000.0,-411.0,980.0,1062.7,8762.14
41000.0,-429.0,971.0,1061.55,8767.47
43000.0,-448.0,956.0,1055.77,8774.85
45000.0,-468.0,955.0,1063.51,8722.99
47000.0,-495.0,946.0,1067.68,8712.92
49000.0,-515.0,935.0,1067.45,8680.69
51000.0,-531.0,925.0,1066.58,8732.81
53000.0,-559.0,912.0,1069.68,8665.23
55000.0,-570.0,903.0,1067.85,8679.12
57000.0,-592.0,889.0,1068.08,8694.67
59000.0,-605.0,874.0,1062.97,8698.6
61000.0,-624.0,861.0,1063.34,8716.91
63000.0,-643.0,852.0,1067.4,8622.13
65000.0,-664.0,841.0,1071.53,8634.5
67000.0,-678.0,822.0,1065.54,8641.92
69000.0,-700.0,812.0,1072.07,8610.83
71000.0,-713.0,793.0,1066.4,8679.87
73000.0,-734.0,780.0,1071.05,8610.2
75000.0,-751.0,763.0,1070.59,8566.72
77000.0,-764.0,747.0,1068.51,8605.29
79000.0,-780.0,733.0,1070.37,8579.25
81000.0,-795.0,717.0,1070.57,8569.03
83000.0,-812.0,699.0,1071.42,8561.67
85000.0,-826.0,681.0,1070.53,8582.88
87000.0,-838.0,664.0,1069.18,8575.24
89000.0,-852.0,645.0,1068.61,8567.63
91000.0,-874.0,625.0,1074.48,8527.8
93000.0,-873.0,609.0,1064.43,8598.12
95000.0,-902.0,591.0,1078.37,8496.69
97000.0,-905.0,566.0,1067.42,8564.38
99000.0,-922.0,551.0,1074.1,8540.98
