frequency,real,imaginary,magnitude,impedance
5000.0,10.0,825.0,825.06,11175.17
7000.0,5.0,820.0,820.02,11100.9
9000.0,-54.0,833.0,834.75,11124.64
11000.0,-61.0,828.0,830.24,11041.69
13000.0,-95.0,844.0,849.33,11029.62
15000.0,-107.0,830.0,836.87,11091.35
17000.0,-129.0,838.0,847.87,11012.73
19000.0,-138.0,829.0,840.41,10989.96
21000.0,-162.0,840.0,855.48,10949.66
23000.0,-181.0,830.0,849.51,10953.24
25000.0,-195.0,832.0,854.55,10923.97
27000.0,-209.0,827.0,853.0,10887.73
29000.0,-229.0,829.0,860.05,10876.17
31000.0,-244.0,824.0,859.37,10840.45
33000.0,-262.0,820.0,860.84,10833.95
35000.0,-280.0,810.0,857.03,10888.34
37000.0,-291.0,813.0,863.51,10791.79
39000.0,-311.0,805.0,862.99,10798.77
41000.0,-327.0,799.0,863.32,10785.35
43000.0,-342.0,800.0,870.04,10604.72
45000.0,-359.0,789.0,866.83,10717.78
47000.0,-376.0,777.0,863.19,10762.59
49000.0,-392.0,775.0,868.5,10685.04
51000.0,-409.0,765.0,867.47,10710.49
53000.0,-428.0,750.0,863.53,10744.05
55000.0,-438.0,750.0,868.53,10657.8
57000.0,-456.0,744.0,872.62,10642.11
59000.0,-468.0,733.0,869.66,10641.23
61000.0,-489.0,726.0,875.33,10541.11
63000.0,-501.0,713.0,871.42,10567.16
65000.0,-515.0,708.0,875.49,10606.49
67000.0,-536.0,701.0,882.44,10469.28
69000.0,-555.0,699.0,892.54,10342.06
71000.0,-578.0,700.0,907.79,10204.3
73000.0,-603.0,702.0,925.43,9972.64
75000.0,-624.0,695.0,934.02,9851.49
77000.0,-642.0,685.0,938.82,9824.04
79000.0,-656.0,669.0,936.96,9805.19
81000.0,-669.0,648.0,931.38,9842.89
83000.0,-681.0,634.0,930.44,9843.88
85000.0,-695.0,616.0,928.7,9878.61
87000.0,-704.0,605.0,928.25,9885.94
89000.0,-672.0,565.0,877.96,10460.1
91000.0,-688.0,548.0,879.57,10451.54
93000.0,-697.0,537.0,879.87,10413.59
95000.0,-714.0,524.0,885.65,10306.57
97000.0,-721.0,506.0,880.84,10351.99
99000.0,-732.0,488.0,879.75,10372.11
