frequency,real,imaginary,magnitude,impedance
5000.0,10.0,939.0,939.05,9807.96
7000.0,-6.0,932.0,932.02,9809.25
9000.0,-62.0,952.0,954.02,9738.64
11000.0,-71.0,941.0,943.67,9723.94
13000.0,-108.0,958.0,964.07,9738.96
15000.0,-125.0,945.0,953.23,9747.76
17000.0,-147.0,954.0,965.26,9667.19
19000.0,-161.0,944.0,957.63,9636.67
21000.0,-188.0,953.0,971.37,9638.55
23000.0,-206.0,944.0,966.22,9624.38
25000.0,-228.0,947.0,974.06,9537.09
27000.0,-248.0,934.0,966.36,9621.58
29000.0,-265.0,940.0,976.64,9564.81
31000.0,-286.0,931.0,973.94,9600.36
33000.0,-303.0,928.0,976.21,9549.84
35000.0,-323.0,920.0,975.05,9536.38
37000.0,-348.0,922.0,985.49,9520.18
39000.0,-362.0,909.0,978.43,9534.6
41000.0,-378.0,903.0,978.92,9539.25
43000.0,-399.0,907.0,990.88,9474.22
45000.0,-417.0,887.0,980.13,9463.46
47000.0,-431.0,883.0,982.57,9460.05
49000.0,-457.0,872.0,984.5,9453.8
51000.0,-471.0,860.0,980.53,9461.45
53000.0,-479.0,858.0,982.65,9438.57
55000.0,-505.0,847.0,986.12,9406.79
57000.0,-527.0,838.0,989.94,9379.42
59000.0,-542.0,825.0,987.11,9391.23
61000.0,-560.0,817.0,990.5,9307.37
63000.0,-581.0,806.0,993.58,9253.76
65000.0,-603.0,806.0,1006.6,9199.78
67000.0,-624.0,795.0,1010.64,9146.56
69000.0,-642.0,791.0,1018.75,9082.59
71000.0,-656.0,777.0,1016.89,9081.53
73000.0,-665.0,750.0,1002.36,9192.89
75000.0,-676.0,717.0,985.43,9350.72
77000.0,-680.0,694.0,971.62,9470.25
79000.0,-682.0,660.0,949.06,9707.49
81000.0,-688.0,638.0,938.29,9782.18
83000.0,-697.0,613.0,928.21,9881.9
85000.0,-706.0,590.0,920.07,9999.34
87000.0,-755.0,645.0,993.0,9251.84
89000.0,-770.0,627.0,992.99,9217.71
91000.0,-791.0,612.0,1000.11,9197.25
93000.0,-791.0,598.0,991.61,9230.84
95000.0,-815.0,577.0,998.58,9161.97
97000.0,-817.0,563.0,992.2,9221.45
99000.0,-835.0,544.0,996.57,9156.27
