frequency,real,imaginary,magnitude,impedance
5000.0,9.0,937.0,937.04,9829.0
7000.0,-5.0,933.0,933.01,9798.8
9000.0,-64.0,946.0,948.16,9798.77
11000.0,-71.0,940.0,942.68,9734.23
13000.0,-110.0,958.0,964.29,9736.67
15000.0,-122.0,943.0,950.86,9772.08
17000.0,-146.0,952.0,963.13,9688.56
19000.0,-161.0,941.0,954.67,9666.52
21000.0,-188.0,953.0,971.37,9638.55
23000.0,-206.0,942.0,964.26,9643.88
25000.0,-226.0,941.0,967.76,9599.19
27000.0,-242.0,938.0,968.71,9598.24
29000.0,-265.0,937.0,973.75,9593.17
31000.0,-287.0,930.0,973.28,9606.89
33000.0,-303.0,928.0,976.21,9549.84
35000.0,-323.0,920.0,975.05,9536.38
37000.0,-336.0,919.0,978.5,9588.2
39000.0,-358.0,909.0,976.96,9548.97
41000.0,-378.0,903.0,978.92,9539.25
43000.0,-402.0,906.0,991.18,9471.38
45000.0,-412.0,890.0,980.74,9457.62
47000.0,-436.0,880.0,982.09,9464.72
49000.0,-450.0,876.0,984.82,9450.66
51000.0,-469.0,866.0,984.84,9420.01
53000.0,-499.0,854.0,989.1,9377.04
55000.0,-501.0,844.0,981.5,9451.1
57000.0,-526.0,837.0,988.56,9392.5
59000.0,-537.0,822.0,981.86,9441.44
61000.0,-563.0,814.0,989.73,9314.61
63000.0,-571.0,803.0,985.32,9331.34
65000.0,-592.0,799.0,994.42,9312.49
67000.0,-605.0,777.0,984.76,9386.97
69000.0,-622.0,770.0,989.84,9347.83
71000.0,-642.0,758.0,993.34,9296.81
73000.0,-654.0,743.0,989.83,9309.25
75000.0,-667.0,726.0,985.88,9346.39
77000.0,-685.0,717.0,991.62,9279.18
79000.0,-699.0,699.0,988.54,9319.89
81000.0,-716.0,687.0,992.28,9249.91
83000.0,-729.0,673.0,992.15,9245.04
85000.0,-743.0,658.0,992.48,9269.86
87000.0,-754.0,644.0,991.59,9265.0
89000.0,-767.0,628.0,991.3,9233.44
91000.0,-788.0,606.0,994.07,9253.14
93000.0,-790.0,598.0,990.81,9238.27
95000.0,-809.0,576.0,993.1,9212.45
97000.0,-815.0,565.0,991.69,9226.18
99000.0,-833.0,542.0,993.81,9181.77
