frequency,real,imaginary,magnitude,impedance
10000.0,18.0,-14.0,22.8,44813.89
11800.0,1.0,-3.0,3.16,311533.63
13600.0,323.0,-1821.0,1849.42,535.58
15400.0,290.0,-1882.0,1904.21,517.9
17200.0,318.0,-1878.0,1904.73,514.4
19000.0,361.0,-1884.0,1918.27,521.79
20800.0,407.0,-1872.0,1915.73,515.54
22600.0,440.0,-1867.0,1918.15,516.23
24400.0,493.0,-1858.0,1922.29,515.81
26200.0,528.0,-1855.0,1928.68,514.88
28000.0,575.0,-1842.0,1929.66,507.72
29800.0,602.0,-1837.0,1933.13,514.17
31600.0,651.0,-1823.0,1935.75,511.5
33400.0,687.0,-1807.0,1933.19,511.07
35200.0,727.0,-1797.0,1938.49,515.93
37000.0,765.0,-1781.0,1938.35,507.27
38800.0,810.0,-1768.0,1944.72,507.3
40600.0,844.0,-1752.0,1944.7,508.79
42400.0,884.0,-1737.0,1949.01,507.52
44200.0,923.0,-1717.0,1949.36,506.05
46000.0,966.0,-1700.0,1955.29,504.93
47800.0,1001.0,-1679.0,1954.75,507.42
49600.0,1039.0,-1660.0,1958.35,503.64
51400.0,1074.0,-1638.0,1958.7,504.35
53200.0,1113.0,-1622.0,1967.14,497.99
55000.0,1148.0,-1596.0,1965.99,499.74
56800.0,1175.0,-1553.0,1947.42,499.56
58600.0,1217.0,-1545.0,1966.75,499.99
60400.0,1254.0,-1521.0,1971.28,498.12
62200.0,1286.0,-1493.0,1970.49,497.8
64000.0,1322.0,-1463.0,1971.81,500.72
65800.0,1353.0,-1438.0,1974.45,496.38
67600.0,1387.0,-1406.0,1974.99,495.72
69400.0,1417.0,-1375.0,1974.47,496.92
71200.0,1448.0,-1348.0,1978.33,494.44
73000.0,1478.0,-1315.0,1978.31,496.15
74800.0,1503.0,-1288.0,1979.38,497.87
76600.0,1536.0,-1249.0,1979.72,495.43
78400.0,1562.0,-1216.0,1979.52,494.72
80200.0,1595.0,-1183.0,1985.83,491.5
82000.0,1618.0,-1147.0,1983.31,493.65
83800.0,1644.0,-1116.0,1987.01,493.14
85600.0,1667.0,-1075.0,1983.56,493.52
87400.0,1689.0,-1040.0,1983.51,492.76
89200.0,1713.0,-1005.0,1986.05,490.33
91000.0,1734.0,-969.0,1986.38,491.31
92800.0,1755.0,-929.0,1985.72,492.8
94600.0,1776.0,-889.0,1986.08,491.56
96400.0,1797.0,-849.0,1987.46,492.6
98200.0,1816.0,-809.0,1988.05,490.78
100000.0,1832.0,-771.0,1987.63,488.65
