frequency,real,imaginary,magnitude,impedance
10000.0,18.0,-13.0,22.2,46024.69
11800.0,0.0,-4.0,4.0,246288.95
13600.0,349.0,-1661.0,1697.27,583.6
15400.0,279.0,-1878.0,1898.61,519.43
17200.0,326.0,-1884.0,1912.0,512.45
19000.0,371.0,-1900.0,1935.88,517.04
20800.0,394.0,-1885.0,1925.74,512.86
22600.0,444.0,-1877.0,1928.8,513.38
24400.0,485.0,-1870.0,1931.87,513.25
26200.0,530.0,-1863.0,1936.92,512.69
28000.0,569.0,-1853.0,1938.39,505.44
29800.0,608.0,-1841.0,1938.8,512.67
31600.0,652.0,-1829.0,1941.74,509.92
33400.0,690.0,-1819.0,1945.47,507.85
35200.0,732.0,-1813.0,1955.2,511.52
37000.0,766.0,-1792.0,1948.85,504.54
38800.0,811.0,-1779.0,1955.14,504.6
40600.0,848.0,-1762.0,1955.44,505.99
42400.0,886.0,-1750.0,1961.5,504.29
44200.0,929.0,-1726.0,1960.13,503.27
46000.0,969.0,-1710.0,1965.47,502.31
47800.0,1004.0,-1691.0,1966.6,504.36
49600.0,1042.0,-1669.0,1967.57,501.27
51400.0,1078.0,-1648.0,1969.26,501.65
53200.0,1113.0,-1632.0,1975.4,495.91
55000.0,1153.0,-1605.0,1976.22,497.16
56800.0,1200.0,-1568.0,1974.49,492.71
58600.0,1223.0,-1560.0,1982.25,496.08
60400.0,1256.0,-1529.0,1978.73,496.24
62200.0,1291.0,-1501.0,1979.82,495.45
64000.0,1326.0,-1476.0,1984.15,497.6
65800.0,1360.0,-1443.0,1982.89,494.27
67600.0,1391.0,-1418.0,1986.35,492.88
69400.0,1423.0,-1387.0,1987.13,493.76
71200.0,1452.0,-1356.0,1986.72,492.35
73000.0,1484.0,-1322.0,1987.45,493.87
74800.0,1516.0,-1293.0,1992.51,494.59
76600.0,1542.0,-1261.0,1991.96,492.39
78400.0,1571.0,-1224.0,1991.54,491.73
80200.0,1595.0,-1194.0,1992.4,489.88
82000.0,1623.0,-1156.0,1992.6,491.35
83800.0,1648.0,-1119.0,1992.0,491.91
85600.0,1676.0,-1085.0,1996.55,490.31
87400.0,1697.0,-1047.0,1994.0,490.17
89200.0,1722.0,-1005.0,1993.82,488.42
91000.0,1743.0,-974.0,1996.68,488.78
92800.0,1766.0,-934.0,1997.78,489.83
94600.0,1785.0,-894.0,1996.36,489.02
96400.0,1807.0,-854.0,1998.64,489.85
98200.0,1825.0,-817.0,1999.53,487.96
100000.0,1841.0,-775.0,1997.47,486.24
