frequency,real,imaginary,magnitude,impedance
10000.0,18.0,-14.0,22.8,44813.89
11800.0,0.0,-3.0,3.0,328385.28
13600.0,380.0,-1680.0,1722.44,575.07
15400.0,294.0,-1900.0,1922.61,512.95
17200.0,326.0,-1884.0,1912.0,512.45
19000.0,366.0,-1897.0,1931.98,518.08
20800.0,404.0,-1880.0,1922.92,513.61
22600.0,443.0,-1879.0,1930.52,512.92
24400.0,485.0,-1876.0,1937.68,511.72
26200.0,533.0,-1859.0,1933.9,513.49
28000.0,567.0,-1848.0,1933.03,506.84
29800.0,605.0,-1837.0,1934.06,513.92
31600.0,652.0,-1829.0,1941.74,509.92
33400.0,689.0,-1818.0,1944.18,508.18
35200.0,732.0,-1811.0,1953.34,512.0
37000.0,765.0,-1789.0,1945.7,505.36
38800.0,810.0,-1776.0,1951.99,505.41
40600.0,847.0,-1760.0,1953.2,506.57
42400.0,887.0,-1745.0,1957.5,505.32
44200.0,927.0,-1724.0,1957.42,503.96
46000.0,968.0,-1707.0,1962.36,503.11
47800.0,1004.0,-1689.0,1964.88,504.8
49600.0,1039.0,-1668.0,1965.13,501.9
51400.0,1079.0,-1648.0,1969.81,501.51
53200.0,1118.0,-1619.0,1967.51,497.9
55000.0,1152.0,-1600.0,1971.57,498.33
56800.0,1186.0,-1588.0,1982.0,490.84
58600.0,1222.0,-1552.0,1975.35,497.82
60400.0,1255.0,-1525.0,1975.01,497.18
62200.0,1289.0,-1497.0,1975.48,496.54
64000.0,1327.0,-1470.0,1980.36,498.56
65800.0,1358.0,-1442.0,1980.79,494.79
67600.0,1389.0,-1415.0,1982.81,493.77
69400.0,1420.0,-1383.0,1982.19,494.99
71200.0,1450.0,-1354.0,1983.89,493.05
73000.0,1482.0,-1320.0,1984.62,494.57
74800.0,1515.0,-1291.0,1990.45,495.1
76600.0,1543.0,-1256.0,1989.57,492.98
78400.0,1570.0,-1222.0,1989.52,492.23
80200.0,1600.0,-1186.0,1991.63,490.07
82000.0,1622.0,-1156.0,1991.79,491.55
83800.0,1653.0,-1121.0,1997.26,490.61
85600.0,1671.0,-1085.0,1992.35,491.34
87400.0,1696.0,-1045.0,1992.09,490.64
89200.0,1720.0,-1009.0,1994.11,488.35
91000.0,1741.0,-971.0,1993.47,489.57
92800.0,1765.0,-933.0,1996.43,490.16
94600.0,1784.0,-893.0,1995.02,489.35
96400.0,1805.0,-854.0,1996.83,490.29
98200.0,1822.0,-814.0,1995.57,488.93
100000.0,1842.0,-774.0,1998.01,486.11
