frequency,real,imaginary,magnitude,impedance
10000.0,18.0,-13.0,22.2,46024.69
11800.0,-1.0,-4.0,4.12,238935.39
13600.0,128.0,-372.0,393.41,2517.82
15400.0,338.0,-1942.0,1971.19,500.3
17200.0,316.0,-1966.0,1991.23,492.06
19000.0,362.0,-1988.0,2020.69,495.34
20800.0,402.0,-1967.0,2007.66,491.93
22600.0,437.0,-1966.0,2013.98,491.66
24400.0,489.0,-1965.0,2024.93,489.67
26200.0,531.0,-1961.0,2031.62,488.79
28000.0,576.0,-1951.0,2034.25,481.62
29800.0,617.0,-1946.0,2041.47,486.88
31600.0,661.0,-1933.0,2042.89,484.67
33400.0,703.0,-1924.0,2048.41,482.33
35200.0,747.0,-1911.0,2051.81,487.43
37000.0,788.0,-1893.0,2050.46,479.54
38800.0,831.0,-1884.0,2059.13,479.11
40600.0,870.0,-1869.0,2061.57,479.94
42400.0,918.0,-1857.0,2071.51,477.51
44200.0,960.0,-1831.0,2067.4,477.15
46000.0,1003.0,-1813.0,2071.95,476.5
47800.0,1042.0,-1792.0,2072.93,478.49
49600.0,1080.0,-1771.0,2074.33,475.48
51400.0,1120.0,-1750.0,2077.72,475.46
53200.0,1156.0,-1723.0,2074.86,472.14
55000.0,1198.0,-1704.0,2082.98,471.67
56800.0,1222.0,-1668.0,2067.73,470.49
58600.0,1273.0,-1660.0,2091.92,470.08
60400.0,1315.0,-1626.0,2091.2,469.56
62200.0,1350.0,-1600.0,2093.44,468.56
64000.0,1387.0,-1573.0,2097.16,470.79
65800.0,1424.0,-1540.0,2097.47,467.27
67600.0,1456.0,-1508.0,2096.19,467.06
69400.0,1497.0,-1477.0,2102.98,466.56
71200.0,1526.0,-1446.0,2102.28,465.29
73000.0,1562.0,-1413.0,2106.28,466.0
74800.0,1590.0,-1379.0,2104.7,468.23
76600.0,1625.0,-1346.0,2110.06,464.83
78400.0,1655.0,-1308.0,2109.48,464.24
80200.0,1685.0,-1270.0,2110.01,462.58
82000.0,1712.0,-1237.0,2112.13,463.54
83800.0,1742.0,-1197.0,2113.62,463.6
85600.0,1770.0,-1162.0,2117.34,462.33
87400.0,1794.0,-1122.0,2115.97,461.91
89200.0,1821.0,-1086.0,2120.24,459.3
91000.0,1839.0,-1045.0,2115.17,461.4
92800.0,1868.0,-1001.0,2119.3,461.74
94600.0,1888.0,-961.0,2118.51,460.83
96400.0,1913.0,-918.0,2121.86,461.4
98200.0,1933.0,-876.0,2122.23,459.75
100000.0,1952.0,-834.0,2122.7,457.56
