frequency,real,imaginary,magnitude,impedance
5000.0,9.0,937.0,937.04,9829.0
7000.0,-1.0,934.0,934.0,9788.44
9000.0,-60.0,948.0,949.9,9780.88
11000.0,-69.0,938.0,940.53,9756.41
13000.0,-111.0,957.0,963.42,9745.55
15000.0,-122.0,948.0,955.82,9721.38
17000.0,-148.0,950.0,961.46,9705.4
19000.0,-166.0,943.0,957.5,9638.0
21000.0,-187.0,952.0,970.19,9650.22
23000.0,-207.0,943.0,965.45,9631.99
25000.0,-226.0,946.0,972.62,9551.2
27000.0,-242.0,936.0,966.78,9617.47
29000.0,-266.0,938.0,974.99,9581.02
31000.0,-282.0,933.0,974.69,9593.0
33000.0,-301.0,929.0,976.55,9546.59
35000.0,-323.0,925.0,979.77,9490.45
37000.0,-344.0,921.0,983.15,9542.86
39000.0,-360.0,909.0,977.69,9541.79
41000.0,-378.0,901.0,977.08,9557.26
43000.0,-404.0,893.0,980.14,9578.12
45000.0,-412.0,889.0,979.83,9466.38
47000.0,-434.0,880.0,981.2,9473.27
49000.0,-452.0,871.0,981.3,9484.61
51000.0,-466.0,862.0,979.9,9467.56
53000.0,-496.0,855.0,988.45,9383.17
55000.0,-502.0,844.0,982.01,9446.19
57000.0,-526.0,836.0,987.71,9400.55
59000.0,-537.0,824.0,983.54,9425.36
61000.0,-557.0,808.0,981.38,9393.83
63000.0,-571.0,798.0,981.25,9370.05
65000.0,-587.0,790.0,984.21,9409.07
67000.0,-605.0,781.0,987.92,9356.95
69000.0,-621.0,769.0,988.43,9361.13
71000.0,-638.0,754.0,987.7,9349.87
73000.0,-654.0,744.0,990.58,9302.19
75000.0,-665.0,727.0,985.27,9352.22
77000.0,-685.0,715.0,990.18,9292.72
79000.0,-701.0,700.0,990.66,9299.93
81000.0,-717.0,683.0,990.24,9268.98
83000.0,-731.0,671.0,992.27,9243.95
85000.0,-743.0,654.0,989.83,9294.66
87000.0,-757.0,642.0,992.58,9255.77
89000.0,-775.0,627.0,996.87,9181.82
91000.0,-800.0,610.0,1006.03,9143.14
93000.0,-805.0,600.0,1004.0,9116.86
95000.0,-827.0,590.0,1015.89,9005.84
97000.0,-843.0,576.0,1020.99,8961.39
99000.0,-859.0,553.0,1021.61,8931.88
