frequency,real,imaginary,magnitude,impedance
5000.0,10.0,939.0,939.05,9807.96
7000.0,-2.0,935.0,935.0,9777.96
9000.0,-66.0,949.0,951.29,9766.53
11000.0,-72.0,939.0,941.76,9743.75
13000.0,-112.0,958.0,964.52,9734.35
15000.0,-123.0,944.0,951.98,9760.58
17000.0,-149.0,953.0,964.58,9674.02
19000.0,-165.0,943.0,957.33,9639.74
21000.0,-187.0,954.0,972.15,9630.74
23000.0,-210.0,944.0,967.08,9615.82
25000.0,-227.0,942.0,968.96,9587.24
27000.0,-246.0,934.0,965.85,9626.68
29000.0,-265.0,939.0,975.68,9574.24
31000.0,-283.0,936.0,977.85,9561.99
33000.0,-303.0,932.0,980.02,9512.78
35000.0,-324.0,922.0,977.27,9514.73
37000.0,-337.0,921.0,980.72,9566.48
39000.0,-359.0,912.0,980.11,9518.21
41000.0,-379.0,902.0,978.39,9544.47
43000.0,-397.0,894.0,978.18,9597.22
45000.0,-413.0,886.0,977.53,9488.64
47000.0,-432.0,882.0,982.11,9464.47
49000.0,-453.0,872.0,982.65,9471.6
51000.0,-467.0,864.0,982.13,9446.01
53000.0,-488.0,852.0,981.86,9446.19
55000.0,-506.0,846.0,985.77,9410.09
57000.0,-525.0,840.0,990.57,9373.44
59000.0,-541.0,823.0,984.89,9412.41
61000.0,-552.0,815.0,984.34,9365.59
63000.0,-575.0,801.0,986.02,9324.73
65000.0,-593.0,787.0,985.4,9397.69
67000.0,-603.0,778.0,984.32,9391.14
69000.0,-627.0,769.0,992.21,9325.46
71000.0,-639.0,757.0,990.64,9322.16
73000.0,-656.0,743.0,991.15,9296.83
75000.0,-673.0,726.0,989.95,9307.97
77000.0,-685.0,716.0,990.9,9285.95
79000.0,-699.0,701.0,989.95,9306.57
81000.0,-713.0,688.0,990.81,9263.62
83000.0,-732.0,670.0,992.33,9243.37
85000.0,-743.0,657.0,991.82,9276.06
87000.0,-754.0,647.0,993.54,9246.8
89000.0,-768.0,628.0,992.07,9226.24
91000.0,-787.0,607.0,993.89,9254.83
93000.0,-792.0,598.0,992.41,9223.42
95000.0,-813.0,580.0,998.68,9160.98
97000.0,-821.0,562.0,994.93,9196.14
99000.0,-837.0,543.0,997.71,9145.89
