frequency,real,imaginary,magnitude,impedance
10000.0,67.0,-260.0,268.49,454.63
11800.0,-43.0,-232.0,235.95,441.09
13600.0,-18.0,-298.0,298.54,383.32
15400.0,4.0,-279.0,279.03,345.24
17200.0,-1.0,-276.0,276.0,350.53
19000.0,4.0,-291.0,291.03,395.55
20800.0,18.0,-272.0,272.59,354.08
22600.0,31.0,-271.0,272.77,383.04
24400.0,29.0,-268.0,269.56,384.23
26200.0,44.0,-273.0,276.52,377.35
28000.0,57.0,-269.0,274.97,361.7
29800.0,58.0,-272.0,278.12,376.77
31600.0,72.0,-278.0,287.17,372.26
33400.0,67.0,-274.0,282.07,366.31
35200.0,78.0,-277.0,287.77,384.77
37000.0,86.0,-276.0,289.09,385.07
38800.0,95.0,-275.0,290.95,363.81
40600.0,100.0,-270.0,287.92,358.59
42400.0,107.0,-271.0,291.36,365.94
44200.0,117.0,-266.0,290.59,357.09
46000.0,124.0,-265.0,292.58,363.91
47800.0,132.0,-264.0,295.16,373.17
49600.0,137.0,-260.0,293.89,350.0
51400.0,142.0,-258.0,294.5,371.54
53200.0,150.0,-250.0,291.55,387.15
55000.0,154.0,-252.0,295.33,360.64
56800.0,148.0,-251.0,291.38,374.94
58600.0,171.0,-248.0,301.24,351.94
60400.0,173.0,-240.0,295.85,362.34
62200.0,178.0,-237.0,296.4,352.24
64000.0,189.0,-238.0,303.92,345.47
65800.0,193.0,-229.0,299.48,369.42
67600.0,200.0,-225.0,301.04,339.41
69400.0,201.0,-222.0,299.47,359.39
71200.0,209.0,-216.0,300.56,357.6
73000.0,213.0,-210.0,299.11,354.63
74800.0,218.0,-211.0,303.39,354.76
76600.0,224.0,-203.0,302.3,342.31
78400.0,227.0,-195.0,299.26,355.97
80200.0,236.0,-189.0,302.35,380.28
82000.0,239.0,-188.0,304.08,355.41
83800.0,242.0,-177.0,299.82,350.19
85600.0,250.0,-175.0,305.16,365.73
87400.0,250.0,-169.0,301.76,349.26
89200.0,255.0,-163.0,302.65,343.45
91000.0,255.0,-163.0,302.65,339.1
92800.0,262.0,-152.0,302.9,348.89
94600.0,264.0,-145.0,301.2,341.82
96400.0,267.0,-140.0,301.48,344.2
98200.0,273.0,-134.0,304.11,350.04
100000.0,275.0,-128.0,303.33,360.18
