frequency,real,imaginary,magnitude,impedance
10000.0,20.0,-264.0,264.76,461.05
11800.0,-9.0,-258.0,258.16,403.15
13600.0,-8.0,-271.0,271.12,422.1
15400.0,-10.0,-243.0,243.21,396.1
17200.0,8.0,-264.0,264.12,366.3
19000.0,18.0,-272.0,272.59,422.3
20800.0,19.0,-266.0,266.68,361.93
22600.0,23.0,-282.0,282.94,369.27
24400.0,33.0,-271.0,273.0,379.4
26200.0,52.0,-272.0,276.93,376.8
28000.0,49.0,-269.0,273.43,363.75
29800.0,57.0,-272.0,277.91,377.05
31600.0,68.0,-276.0,284.25,376.08
33400.0,73.0,-274.0,283.56,364.39
35200.0,82.0,-276.0,287.92,384.56
37000.0,87.0,-268.0,281.77,395.08
38800.0,95.0,-272.0,288.11,367.39
40600.0,101.0,-269.0,287.34,359.33
42400.0,109.0,-270.0,291.17,366.18
44200.0,115.0,-265.0,288.88,359.21
46000.0,125.0,-263.0,291.19,365.63
47800.0,129.0,-262.0,292.04,377.16
49600.0,135.0,-259.0,292.07,352.17
51400.0,143.0,-257.0,294.11,372.03
53200.0,146.0,-259.0,297.32,379.63
55000.0,154.0,-253.0,296.18,359.6
56800.0,169.0,-235.0,289.46,377.44
58600.0,170.0,-249.0,301.5,351.64
60400.0,172.0,-238.0,293.65,365.07
62200.0,177.0,-238.0,296.6,352.0
64000.0,189.0,-233.0,300.02,349.96
65800.0,190.0,-231.0,299.1,369.89
67600.0,196.0,-228.0,300.67,339.83
69400.0,201.0,-221.0,298.73,360.28
71200.0,208.0,-217.0,300.59,357.57
73000.0,212.0,-210.0,298.4,355.48
74800.0,219.0,-208.0,302.03,356.35
76600.0,222.0,-201.0,299.47,345.54
78400.0,231.0,-196.0,302.95,351.64
80200.0,237.0,-193.0,305.64,376.18
82000.0,238.0,-185.0,301.44,358.52
83800.0,245.0,-184.0,306.4,342.67
85600.0,244.0,-175.0,300.27,371.69
87400.0,249.0,-170.0,301.5,349.57
89200.0,256.0,-163.0,303.49,342.49
91000.0,251.0,-160.0,297.66,344.78
92800.0,262.0,-152.0,302.9,348.89
94600.0,264.0,-146.0,301.68,341.27
96400.0,268.0,-139.0,301.9,343.72
98200.0,271.0,-134.0,302.32,352.12
100000.0,276.0,-128.0,304.24,359.1
