frequency,real,imaginary,magnitude,impedance
10000.0,19.0,-13.0,23.02,44389.11
11800.0,0.0,-3.0,3.0,328385.28
13600.0,333.0,-1363.0,1403.09,705.96
15400.0,285.0,-1908.0,1929.17,511.2
17200.0,318.0,-1914.0,1940.24,504.99
19000.0,367.0,-1922.0,1956.73,511.53
20800.0,401.0,-1914.0,1955.56,505.04
22600.0,442.0,-1908.0,1958.53,505.59
24400.0,495.0,-1898.0,1961.49,505.51
26200.0,529.0,-1894.0,1966.49,504.98
28000.0,579.0,-1895.0,1981.48,494.44
29800.0,610.0,-1877.0,1973.63,503.62
31600.0,654.0,-1861.0,1972.57,501.95
33400.0,693.0,-1852.0,1977.41,499.64
35200.0,732.0,-1841.0,1981.19,504.81
37000.0,772.0,-1825.0,1981.57,496.21
38800.0,818.0,-1809.0,1985.35,496.92
40600.0,857.0,-1794.0,1988.19,497.66
42400.0,901.0,-1778.0,1993.26,496.25
44200.0,939.0,-1756.0,1991.3,495.39
46000.0,980.0,-1740.0,1997.0,494.38
47800.0,1017.0,-1722.0,1999.89,495.97
49600.0,1054.0,-1698.0,1998.53,493.51
51400.0,1096.0,-1677.0,2003.38,493.1
53200.0,1136.0,-1656.0,2008.19,487.82
55000.0,1168.0,-1632.0,2006.9,489.56
56800.0,1212.0,-1595.0,2003.24,485.64
58600.0,1243.0,-1587.0,2015.84,487.82
60400.0,1279.0,-1556.0,2014.19,487.51
62200.0,1311.0,-1529.0,2014.09,487.02
64000.0,1344.0,-1502.0,2015.52,489.86
65800.0,1381.0,-1472.0,2018.4,485.57
67600.0,1411.0,-1441.0,2016.78,485.45
69400.0,1446.0,-1412.0,2021.05,485.47
71200.0,1476.0,-1379.0,2019.95,484.25
73000.0,1509.0,-1348.0,2023.41,485.09
74800.0,1537.0,-1315.0,2022.77,487.19
76600.0,1568.0,-1282.0,2025.38,484.26
78400.0,1597.0,-1247.0,2026.18,483.33
80200.0,1627.0,-1212.0,2028.81,481.09
82000.0,1653.0,-1175.0,2028.06,482.76
83800.0,1675.0,-1144.0,2028.39,483.08
85600.0,1704.0,-1103.0,2029.83,482.27
87400.0,1727.0,-1066.0,2029.5,481.59
89200.0,1751.0,-1030.0,2031.48,479.37
91000.0,1769.0,-993.0,2028.65,481.08
92800.0,1800.0,-949.0,2034.85,480.9
94600.0,1815.0,-911.0,2030.8,480.73
96400.0,1836.0,-874.0,2033.41,481.47
98200.0,1854.0,-831.0,2031.72,480.23
100000.0,1875.0,-790.0,2034.63,477.36
