frequency,real,imaginary,magnitude,impedance
10000.0,22.0,-28.0,35.61,28698.2
11800.0,300.0,-1713.0,1739.07,566.48
13600.0,221.0,-1787.0,1800.61,550.1
15400.0,277.0,-1788.0,1809.33,545.06
17200.0,320.0,-1784.0,1812.47,540.59
19000.0,348.0,-1791.0,1824.5,548.61
20800.0,386.0,-1784.0,1825.28,541.09
22600.0,425.0,-1769.0,1819.34,544.27
24400.0,472.0,-1764.0,1826.06,543.0
26200.0,505.0,-1758.0,1829.1,542.91
28000.0,542.0,-1748.0,1830.1,535.34
29800.0,578.0,-1736.0,1829.69,543.24
31600.0,624.0,-1726.0,1835.33,539.48
33400.0,660.0,-1716.0,1838.55,537.38
35200.0,694.0,-1712.0,1847.32,541.39
37000.0,730.0,-1690.0,1840.92,534.12
38800.0,770.0,-1677.0,1845.33,534.62
40600.0,808.0,-1661.0,1847.1,535.67
42400.0,845.0,-1646.0,1850.23,534.62
44200.0,883.0,-1627.0,1851.17,532.89
46000.0,919.0,-1610.0,1853.82,532.57
47800.0,954.0,-1594.0,1857.67,533.94
49600.0,985.0,-1571.0,1854.26,531.91
51400.0,1024.0,-1551.0,1858.54,531.53
53200.0,1061.0,-1531.0,1862.71,525.92
55000.0,1092.0,-1511.0,1864.29,527.0
56800.0,1112.0,-1492.0,1860.81,522.81
58600.0,1154.0,-1468.0,1867.28,526.63
60400.0,1191.0,-1440.0,1868.71,525.46
62200.0,1219.0,-1413.0,1866.15,525.63
64000.0,1255.0,-1387.0,1870.51,527.84
65800.0,1286.0,-1361.0,1872.46,523.42
67600.0,1312.0,-1332.0,1869.64,523.65
69400.0,1341.0,-1304.0,1870.48,524.55
71200.0,1372.0,-1275.0,1872.97,522.25
73000.0,1399.0,-1245.0,1872.76,524.11
74800.0,1428.0,-1213.0,1873.65,525.96
76600.0,1455.0,-1184.0,1875.87,522.86
78400.0,1480.0,-1151.0,1874.89,522.33
80200.0,1508.0,-1126.0,1882.0,518.62
82000.0,1532.0,-1087.0,1878.45,521.21
83800.0,1554.0,-1054.0,1877.72,521.84
85600.0,1576.0,-1020.0,1877.28,521.46
87400.0,1599.0,-985.0,1878.04,520.43
89200.0,1621.0,-947.0,1877.35,518.72
91000.0,1638.0,-920.0,1878.68,519.48
92800.0,1662.0,-879.0,1880.13,520.48
94600.0,1682.0,-842.0,1880.98,519.02
96400.0,1699.0,-806.0,1880.49,520.63
98200.0,1718.0,-770.0,1882.66,518.25
100000.0,1735.0,-731.0,1882.71,515.88
