frequency,real,imaginary,magnitude,impedance
10000.0,18.0,-13.0,22.2,46024.69
11800.0,23.0,-56.0,60.54,16273.01
13600.0,297.0,-1808.0,1832.23,540.61
15400.0,289.0,-1812.0,1834.9,537.47
17200.0,334.0,-1805.0,1835.64,533.77
19000.0,359.0,-1818.0,1853.11,540.14
20800.0,403.0,-1798.0,1842.61,536.0
22600.0,436.0,-1798.0,1850.11,535.21
24400.0,478.0,-1786.0,1848.86,536.3
26200.0,517.0,-1783.0,1856.44,534.91
28000.0,555.0,-1771.0,1855.93,527.89
29800.0,594.0,-1763.0,1860.38,534.28
31600.0,633.0,-1752.0,1862.85,531.51
33400.0,669.0,-1737.0,1861.38,530.79
35200.0,702.0,-1726.0,1863.3,536.75
37000.0,741.0,-1715.0,1868.24,526.31
38800.0,782.0,-1696.0,1867.6,528.25
40600.0,817.0,-1679.0,1867.23,529.89
42400.0,855.0,-1668.0,1874.37,527.73
44200.0,894.0,-1645.0,1872.23,526.89
46000.0,930.0,-1628.0,1874.91,526.58
47800.0,967.0,-1608.0,1876.37,528.62
49600.0,998.0,-1591.0,1878.11,525.15
51400.0,1035.0,-1568.0,1878.79,525.8
53200.0,1070.0,-1555.0,1887.57,518.99
55000.0,1106.0,-1525.0,1883.84,521.53
56800.0,1134.0,-1513.0,1890.8,514.52
58600.0,1168.0,-1482.0,1886.94,521.14
60400.0,1206.0,-1454.0,1889.06,519.8
62200.0,1234.0,-1428.0,1887.31,519.74
64000.0,1271.0,-1403.0,1893.11,521.53
65800.0,1297.0,-1376.0,1890.92,518.31
67600.0,1329.0,-1349.0,1893.68,517.0
69400.0,1357.0,-1318.0,1891.71,518.66
71200.0,1389.0,-1287.0,1893.59,516.57
73000.0,1417.0,-1257.0,1894.19,518.18
74800.0,1448.0,-1230.0,1899.9,518.7
76600.0,1472.0,-1199.0,1898.52,516.62
78400.0,1498.0,-1165.0,1897.69,516.05
80200.0,1530.0,-1133.0,1903.84,512.67
82000.0,1550.0,-1097.0,1898.92,515.59
83800.0,1571.0,-1069.0,1900.21,515.67
85600.0,1596.0,-1031.0,1900.05,515.21
87400.0,1619.0,-996.0,1900.84,514.19
89200.0,1641.0,-963.0,1902.7,511.81
91000.0,1658.0,-927.0,1899.55,513.77
92800.0,1684.0,-889.0,1904.25,513.88
94600.0,1702.0,-852.0,1903.34,512.92
96400.0,1722.0,-817.0,1905.98,513.66
98200.0,1740.0,-777.0,1905.6,512.02
100000.0,1757.0,-737.0,1905.31,509.76
