frequency,real,imaginary,magnitude,impedance
5000.0,20.0,268.0,268.75,34271.1
7000.0,17.0,262.0,262.55,34706.39
9000.0,-12.0,273.0,273.26,33959.64
11000.0,-10.0,267.0,267.19,34273.15
13000.0,-31.0,278.0,279.72,33418.75
15000.0,-31.0,271.0,272.77,33758.06
17000.0,-40.0,278.0,280.86,33217.07
19000.0,-44.0,271.0,274.55,33603.04
21000.0,-53.0,280.0,284.97,32912.92
23000.0,-59.0,275.0,281.26,32952.48
25000.0,-65.0,275.0,282.58,32976.95
27000.0,-70.0,271.0,279.89,33197.89
29000.0,-73.0,275.0,284.52,32820.43
31000.0,-80.0,272.0,283.52,32933.66
33000.0,-85.0,274.0,286.88,32626.8
35000.0,-95.0,269.0,285.28,32580.55
37000.0,-103.0,271.0,289.91,32122.61
39000.0,-105.0,269.0,288.77,32323.13
41000.0,-109.0,269.0,290.24,32080.73
43000.0,-110.0,261.0,283.23,32905.55
45000.0,-122.0,262.0,289.01,32239.78
47000.0,-124.0,261.0,288.96,32197.91
49000.0,-130.0,255.0,286.23,32523.22
51000.0,-135.0,255.0,288.53,32222.84
53000.0,-136.0,251.0,285.48,32303.47
55000.0,-145.0,251.0,289.87,31876.73
57000.0,-151.0,249.0,291.21,32028.45
59000.0,-152.0,244.0,287.47,32170.89
61000.0,-157.0,239.0,285.95,32419.4
63000.0,-163.0,239.0,289.29,31976.9
65000.0,-168.0,237.0,290.5,31715.23
67000.0,-171.0,234.0,289.82,31904.37
69000.0,-178.0,231.0,291.62,31750.86
71000.0,-182.0,229.0,292.51,31691.35
73000.0,-189.0,223.0,292.32,31524.87
75000.0,-193.0,217.0,290.41,31627.88
77000.0,-196.0,215.0,290.93,31630.45
79000.0,-199.0,209.0,288.59,31838.79
81000.0,-205.0,209.0,292.76,31458.4
83000.0,-211.0,203.0,292.8,31308.53
85000.0,-213.0,198.0,290.81,31539.57
87000.0,-216.0,196.0,291.67,31450.29
89000.0,-220.0,192.0,292.0,31525.34
91000.0,-230.0,186.0,295.8,30883.73
93000.0,-226.0,180.0,288.92,31692.5
95000.0,-231.0,176.0,290.41,31555.49
97000.0,-237.0,171.0,292.25,31154.28
99000.0,-242.0,168.0,294.6,31050.0
