frequency,real,imaginary,magnitude,impedance
5000.0,12.0,823.0,823.09,11201.96
7000.0,1.0,817.0,817.0,11141.86
9000.0,-52.0,834.0,835.62,11113.04
11000.0,-59.0,823.0,825.11,11110.36
13000.0,-94.0,841.0,846.24,11069.93
15000.0,-103.0,834.0,840.34,11045.58
17000.0,-125.0,836.0,845.29,11046.31
19000.0,-139.0,828.0,839.59,11000.71
21000.0,-165.0,838.0,854.09,10967.47
23000.0,-182.0,837.0,856.56,10863.05
25000.0,-199.0,844.0,867.14,10765.28
27000.0,-221.0,851.0,879.23,10562.95
29000.0,-241.0,871.0,903.73,10350.5
31000.0,-258.0,874.0,911.28,10222.85
33000.0,-283.0,877.0,921.53,10120.43
35000.0,-298.0,868.0,917.73,10168.17
37000.0,-313.0,864.0,918.95,10140.76
39000.0,-334.0,853.0,916.06,10173.13
41000.0,-349.0,847.0,916.08,10164.2
43000.0,-376.0,835.0,915.75,10075.32
45000.0,-363.0,786.0,865.77,10730.9
47000.0,-375.0,779.0,864.56,10745.58
49000.0,-392.0,772.0,865.82,10718.07
51000.0,-405.0,765.0,865.59,10733.74
53000.0,-421.0,765.0,873.19,10625.16
55000.0,-440.0,751.0,870.4,10634.87
57000.0,-455.0,742.0,870.4,10669.35
59000.0,-467.0,731.0,867.44,10668.51
61000.0,-485.0,725.0,872.27,10578.09
63000.0,-494.0,708.0,863.31,10666.43
65000.0,-520.0,702.0,873.62,10629.29
67000.0,-527.0,695.0,872.21,10592.02
69000.0,-541.0,686.0,873.66,10565.58
71000.0,-557.0,670.0,871.29,10631.77
73000.0,-570.0,663.0,874.34,10555.33
75000.0,-585.0,647.0,872.26,10549.09
77000.0,-597.0,640.0,875.22,10537.97
79000.0,-611.0,625.0,874.04,10511.06
81000.0,-622.0,612.0,872.6,10505.92
83000.0,-634.0,600.0,872.9,10492.75
85000.0,-648.0,588.0,875.01,10484.7
87000.0,-657.0,577.0,874.4,10494.71
89000.0,-670.0,560.0,873.21,10516.93
91000.0,-690.0,550.0,882.38,10418.25
93000.0,-694.0,534.0,875.67,10463.62
95000.0,-712.0,522.0,882.85,10339.21
97000.0,-717.0,508.0,878.72,10376.92
99000.0,-730.0,489.0,878.65,10385.18
