frequency,real,imaginary,magnitude,impedance
5000.0,11.0,821.0,821.07,11229.44
7000.0,-3.0,814.0,814.01,11182.86
9000.0,-49.0,830.0,831.45,11168.84
11000.0,-58.0,824.0,826.04,11097.9
13000.0,-95.0,839.0,844.36,11094.52
15000.0,-104.0,832.0,838.47,11070.11
17000.0,-124.0,835.0,844.16,11061.18
19000.0,-143.0,824.0,836.32,11043.72
21000.0,-160.0,838.0,853.14,10979.71
23000.0,-177.0,827.0,845.73,11002.15
25000.0,-193.0,825.0,847.27,11017.72
27000.0,-213.0,821.0,848.18,10949.6
29000.0,-229.0,823.0,854.27,10949.78
31000.0,-243.0,817.0,852.37,10929.42
33000.0,-260.0,817.0,857.37,10877.74
35000.0,-275.0,814.0,859.2,10860.87
37000.0,-289.0,810.0,860.01,10835.69
39000.0,-309.0,803.0,860.4,10831.22
41000.0,-326.0,797.0,861.1,10813.28
43000.0,-343.0,784.0,855.75,10781.79
45000.0,-356.0,785.0,861.95,10778.49
47000.0,-376.0,776.0,862.29,10773.82
49000.0,-396.0,771.0,866.75,10706.58
51000.0,-407.0,765.0,866.53,10722.12
53000.0,-422.0,749.0,859.7,10791.91
55000.0,-436.0,746.0,864.07,10712.85
57000.0,-455.0,740.0,868.69,10690.29
59000.0,-466.0,728.0,864.37,10706.35
61000.0,-478.0,722.0,865.89,10655.97
63000.0,-495.0,712.0,867.16,10619.03
65000.0,-512.0,706.0,872.11,10647.61
67000.0,-527.0,694.0,871.42,10601.71
69000.0,-540.0,686.0,873.04,10573.07
71000.0,-559.0,675.0,876.42,10569.6
73000.0,-568.0,662.0,872.28,10580.28
75000.0,-585.0,647.0,872.26,10549.09
77000.0,-596.0,637.0,872.34,10572.7
79000.0,-611.0,625.0,874.04,10511.06
81000.0,-625.0,612.0,874.74,10480.21
83000.0,-638.0,600.0,875.81,10457.89
85000.0,-647.0,588.0,874.27,10493.58
87000.0,-656.0,576.0,872.99,10511.67
89000.0,-669.0,560.0,872.45,10526.18
91000.0,-688.0,541.0,875.23,10503.42
93000.0,-694.0,537.0,877.5,10441.77
95000.0,-703.0,518.0,873.23,10453.12
97000.0,-715.0,509.0,877.67,10389.35
99000.0,-730.0,491.0,879.76,10372.02
