frequency,real,imaginary,magnitude,impedance
5000.0,10.0,825.0,825.06,11175.17
7000.0,3.0,818.0,818.01,11128.17
9000.0,-50.0,834.0,835.5,11114.67
11000.0,-61.0,827.0,829.25,11054.97
13000.0,-95.0,845.0,850.32,11016.73
15000.0,-106.0,833.0,839.72,11053.73
17000.0,-128.0,840.0,849.7,10989.07
19000.0,-139.0,826.0,837.61,11026.61
21000.0,-165.0,837.0,853.11,10980.08
23000.0,-176.0,835.0,853.35,10903.94
25000.0,-194.0,827.0,849.45,10989.51
27000.0,-215.0,824.0,851.59,10905.8
29000.0,-228.0,827.0,857.85,10903.99
31000.0,-243.0,820.0,855.25,10892.66
33000.0,-264.0,821.0,862.4,10814.32
35000.0,-280.0,808.0,855.14,10912.41
37000.0,-297.0,814.0,866.49,10754.68
39000.0,-310.0,805.0,862.63,10803.28
41000.0,-329.0,797.0,862.24,10798.98
43000.0,-340.0,794.0,863.73,10682.1
45000.0,-359.0,788.0,865.92,10729.04
47000.0,-375.0,778.0,863.66,10756.79
49000.0,-394.0,777.0,871.19,10652.08
51000.0,-408.0,768.0,869.65,10683.67
53000.0,-430.0,765.0,877.57,10572.19
55000.0,-439.0,751.0,869.9,10641.04
57000.0,-458.0,744.0,873.67,10629.36
59000.0,-468.0,732.0,868.82,10651.55
61000.0,-481.0,724.0,869.22,10615.21
63000.0,-494.0,712.0,866.59,10626.02
65000.0,-516.0,705.0,873.66,10628.76
67000.0,-527.0,690.0,868.23,10640.56
69000.0,-543.0,686.0,874.9,10550.6
71000.0,-559.0,674.0,875.65,10578.89
73000.0,-572.0,664.0,876.4,10530.49
75000.0,-583.0,648.0,871.66,10556.32
77000.0,-598.0,638.0,874.44,10547.34
79000.0,-610.0,627.0,874.77,10502.24
81000.0,-625.0,616.0,877.54,10446.73
83000.0,-640.0,600.0,877.27,10440.51
85000.0,-649.0,588.0,875.75,10475.83
87000.0,-661.0,579.0,878.73,10443.04
89000.0,-667.0,564.0,873.49,10513.59
91000.0,-692.0,549.0,883.33,10407.13
93000.0,-698.0,537.0,880.67,10404.22
95000.0,-708.0,517.0,876.67,10412.1
97000.0,-719.0,508.0,880.36,10357.68
99000.0,-730.0,492.0,880.32,10365.44
