frequency,real,imaginary,magnitude,impedance
5000.0,12.0,822.0,822.09,11215.59
7000.0,3.0,817.0,817.01,11141.79
9000.0,-52.0,833.0,834.62,11126.33
11000.0,-58.0,824.0,826.04,11097.9
13000.0,-96.0,840.0,845.47,11080.0
15000.0,-104.0,834.0,840.46,11043.96
17000.0,-125.0,835.0,844.3,11059.25
19000.0,-137.0,826.0,837.28,11030.95
21000.0,-162.0,836.0,851.55,11000.16
23000.0,-175.0,828.0,846.29,10994.85
25000.0,-193.0,826.0,848.25,11005.08
27000.0,-211.0,827.0,853.49,10881.45
29000.0,-228.0,825.0,855.93,10928.55
31000.0,-242.0,818.0,853.05,10920.78
33000.0,-263.0,816.0,857.34,10878.21
35000.0,-278.0,807.0,853.54,10932.84
37000.0,-288.0,810.0,859.68,10839.92
39000.0,-310.0,801.0,858.9,10850.21
41000.0,-329.0,797.0,862.24,10798.98
43000.0,-336.0,786.0,854.81,10793.68
45000.0,-359.0,780.0,858.65,10819.93
47000.0,-374.0,778.0,863.23,10762.19
49000.0,-394.0,773.0,867.62,10695.85
51000.0,-411.0,763.0,866.65,10720.58
53000.0,-430.0,752.0,866.26,10710.21
55000.0,-449.0,762.0,884.45,10466.01
57000.0,-474.0,763.0,898.25,10338.55
59000.0,-491.0,771.0,914.07,10124.27
61000.0,-514.0,769.0,924.96,9975.44
63000.0,-529.0,763.0,928.44,9918.11
65000.0,-554.0,748.0,930.82,9976.09
67000.0,-561.0,734.0,923.84,10000.12
69000.0,-578.0,723.0,925.64,9972.21
71000.0,-594.0,711.0,926.48,9998.5
73000.0,-611.0,696.0,926.14,9964.94
75000.0,-585.0,646.0,871.52,10558.07
77000.0,-596.0,637.0,872.34,10572.7
79000.0,-610.0,626.0,874.06,10510.85
81000.0,-625.0,615.0,876.84,10455.09
83000.0,-635.0,597.0,871.57,10508.78
85000.0,-647.0,587.0,873.6,10501.66
87000.0,-661.0,574.0,875.44,10482.25
89000.0,-672.0,561.0,875.39,10490.79
91000.0,-688.0,546.0,878.33,10466.35
93000.0,-694.0,539.0,878.72,10427.2
95000.0,-711.0,519.0,880.27,10369.49
97000.0,-719.0,509.0,880.93,10350.89
99000.0,-727.0,491.0,877.27,10401.44
