frequency,real,imaginary,magnitude,impedance
5000.0,11.0,826.0,826.07,11161.47
7000.0,4.0,819.0,819.01,11114.53
9000.0,-53.0,830.0,831.69,11165.54
11000.0,-61.0,826.0,828.25,11068.28
13000.0,-97.0,842.0,847.57,11052.54
15000.0,-104.0,836.0,842.44,11017.95
17000.0,-127.0,839.0,848.56,11003.82
19000.0,-139.0,828.0,839.59,11000.71
21000.0,-163.0,840.0,855.67,10947.23
23000.0,-177.0,830.0,848.66,10964.12
25000.0,-195.0,830.0,852.6,10948.92
27000.0,-211.0,823.0,849.62,10931.08
29000.0,-228.0,827.0,857.85,10903.99
31000.0,-244.0,820.0,855.53,10889.04
33000.0,-264.0,820.0,861.45,10826.26
35000.0,-279.0,815.0,861.43,10832.69
37000.0,-300.0,811.0,864.71,10776.84
39000.0,-311.0,805.0,862.99,10798.77
41000.0,-329.0,800.0,865.01,10764.35
43000.0,-342.0,790.0,860.85,10717.88
45000.0,-358.0,785.0,862.78,10768.15
47000.0,-377.0,782.0,868.13,10701.38
49000.0,-393.0,776.0,869.84,10668.54
51000.0,-409.0,764.0,866.59,10721.39
53000.0,-424.0,753.0,864.17,10736.13
55000.0,-437.0,748.0,866.3,10685.25
57000.0,-456.0,741.0,870.07,10673.38
59000.0,-469.0,731.0,868.52,10655.26
61000.0,-488.0,723.0,872.28,10577.93
63000.0,-493.0,710.0,864.38,10653.23
65000.0,-520.0,704.0,875.22,10609.76
67000.0,-526.0,696.0,872.41,10589.67
69000.0,-544.0,685.0,874.73,10552.56
71000.0,-557.0,675.0,875.14,10584.99
73000.0,-571.0,663.0,874.99,10547.46
75000.0,-585.0,650.0,874.49,10522.22
77000.0,-598.0,640.0,875.9,10529.76
79000.0,-613.0,628.0,877.58,10468.61
81000.0,-626.0,613.0,876.15,10463.29
83000.0,-638.0,598.0,874.44,10474.26
85000.0,-650.0,590.0,877.84,10450.96
87000.0,-661.0,579.0,878.73,10443.04
89000.0,-673.0,561.0,876.16,10481.6
91000.0,-688.0,548.0,879.57,10451.54
93000.0,-698.0,537.0,880.67,10404.22
95000.0,-714.0,517.0,881.52,10354.78
97000.0,-715.0,508.0,877.09,10396.22
99000.0,-733.0,490.0,881.7,10349.26
