frequency,real,imaginary,magnitude,impedance
5000.0,12.0,826.0,826.09,11161.29
7000.0,-3.0,817.0,817.01,11141.79
9000.0,-57.0,837.0,838.94,11069.08
11000.0,-58.0,828.0,830.03,11044.55
13000.0,-96.0,844.0,849.44,11028.16
15000.0,-105.0,836.0,842.57,11016.33
17000.0,-129.0,840.0,849.85,10987.11
19000.0,-138.0,830.0,841.39,10977.07
21000.0,-161.0,840.0,855.29,10952.08
23000.0,-176.0,833.0,851.39,10929.0
25000.0,-196.0,834.0,856.72,10896.23
27000.0,-216.0,827.0,854.74,10865.54
29000.0,-227.0,828.0,858.55,10895.11
31000.0,-245.0,820.0,855.82,10885.4
33000.0,-262.0,820.0,860.84,10833.95
35000.0,-280.0,811.0,857.97,10876.35
37000.0,-298.0,815.0,867.77,10738.79
39000.0,-312.0,807.0,865.21,10770.99
41000.0,-327.0,801.0,865.18,10762.27
43000.0,-347.0,797.0,869.26,10614.16
45000.0,-363.0,788.0,867.59,10708.44
47000.0,-375.0,779.0,864.56,10745.58
49000.0,-390.0,772.0,864.92,10729.27
51000.0,-408.0,769.0,870.53,10672.83
53000.0,-432.0,759.0,873.33,10623.49
55000.0,-440.0,750.0,869.54,10645.42
57000.0,-457.0,744.0,873.15,10635.74
59000.0,-470.0,729.0,867.38,10669.28
61000.0,-490.0,724.0,874.23,10554.35
63000.0,-495.0,715.0,869.63,10588.93
65000.0,-510.0,706.0,870.94,10661.95
67000.0,-528.0,694.0,872.02,10594.35
69000.0,-544.0,686.0,875.52,10543.12
71000.0,-558.0,678.0,878.09,10549.41
73000.0,-572.0,661.0,874.13,10557.84
75000.0,-583.0,651.0,873.89,10529.35
77000.0,-598.0,640.0,875.9,10529.76
79000.0,-611.0,625.0,874.04,10511.06
81000.0,-624.0,613.0,874.73,10480.37
83000.0,-636.0,597.0,872.3,10500.0
85000.0,-652.0,588.0,877.98,10449.28
87000.0,-664.0,575.0,878.36,10447.38
89000.0,-678.0,562.0,880.64,10428.22
91000.0,-708.0,555.0,899.6,10218.81
93000.0,-722.0,554.0,910.05,10068.23
95000.0,-756.0,549.0,934.31,9769.76
97000.0,-769.0,542.0,940.81,9692.1
99000.0,-785.0,528.0,946.05,9645.28
