frequency,real,imaginary,magnitude,impedance
5000.0,11.0,822.0,822.07,11215.78
7000.0,3.0,816.0,816.01,11155.45
9000.0,-49.0,834.0,835.44,11115.45
11000.0,-58.0,824.0,826.04,11097.9
13000.0,-96.0,841.0,846.46,11067.0
15000.0,-104.0,834.0,840.46,11043.96
17000.0,-125.0,837.0,846.28,11033.4
19000.0,-138.0,825.0,836.46,11041.79
21000.0,-160.0,839.0,854.12,10967.08
23000.0,-177.0,829.0,847.69,10976.77
25000.0,-195.0,831.0,853.57,10936.43
27000.0,-214.0,824.0,851.34,10909.02
29000.0,-227.0,823.0,853.73,10956.63
31000.0,-244.0,819.0,854.57,10901.25
33000.0,-259.0,818.0,858.02,10869.49
35000.0,-280.0,809.0,856.08,10900.36
37000.0,-299.0,806.0,859.67,10839.97
39000.0,-310.0,803.0,860.76,10826.7
41000.0,-327.0,796.0,860.55,10820.14
43000.0,-341.0,795.0,865.05,10665.89
45000.0,-360.0,788.0,866.34,10723.9
47000.0,-374.0,777.0,862.33,10773.44
49000.0,-391.0,770.0,863.59,10745.82
51000.0,-406.0,766.0,866.94,10717.0
53000.0,-418.0,758.0,865.61,10718.18
55000.0,-439.0,750.0,869.03,10651.61
57000.0,-456.0,740.0,869.22,10683.84
59000.0,-466.0,729.0,865.22,10695.93
61000.0,-483.0,725.0,871.16,10591.57
63000.0,-495.0,710.0,865.52,10639.17
65000.0,-509.0,701.0,866.3,10719.01
67000.0,-528.0,695.0,872.82,10584.69
69000.0,-542.0,683.0,871.92,10586.57
71000.0,-556.0,671.0,871.42,10630.17
73000.0,-570.0,662.0,873.58,10564.49
75000.0,-581.0,647.0,869.58,10581.58
77000.0,-597.0,636.0,872.3,10573.25
79000.0,-607.0,627.0,872.68,10527.38
81000.0,-623.0,616.0,876.12,10463.7
83000.0,-633.0,601.0,872.86,10493.21
85000.0,-649.0,587.0,875.08,10483.87
87000.0,-659.0,576.0,875.25,10484.57
89000.0,-670.0,559.0,872.57,10524.66
91000.0,-689.0,548.0,880.36,10442.25
93000.0,-695.0,531.0,874.63,10475.96
95000.0,-708.0,524.0,880.82,10363.08
97000.0,-720.0,504.0,878.87,10375.15
99000.0,-732.0,492.0,881.98,10345.94
